report_id,instrument,product1_id,product2_id,product3_id,result
Report_100,Mass Spectrometer MS-20,7,1,,Mass-to-Charge
Report_100,X-Ray Diffractometer XRD-6000,0,,,Crystal Structure
Report_100,Ion Chromatograph IC-2100,7,1,,Ion Concentration
Report_100,Conductivity Meter CM-215,6,5,,Conductivity
Report_100,Centrifuge X100,,,,
Report_1000,Thermocycler TC-5000,6,3,5,59
Report_1000,Titrator T-905,6,1,4,0.008
Report_1000,NMR Spectrometer NMR-500,6,3,5,15.2
Report_1000,Microplate Reader MRX,7,5,,2.3
Report_1000,Mass Spectrometer MS-20,7,4,,345
Report_1000,Spectrometer Alpha-300,7,2,5,530
Report_1000,pH Meter PH-700,7,2,4,6.5
Report_1000,Ion Chromatograph IC-2100,7,5,,0.056
Report_1000,Gas Chromatograph GC-2010,7,4,,200
Report_1000,Liquid Chromatograph LC-400,7,2,5,320
Report_1000,Viscometer VS-300,7,3,,7289.68
Report_1003,Centrifuge X100,7,3,,10500
Report_1003,Rheometer R-4500,7,,,95.3
Report_1003,Centrifuge X100,,,,Data
Report_1003,Centrifuge X100,0,3,4,12000
Report_1003,UV-Vis Spectrophotometer UV-2600,6,2,4,1.5
Report_1003,Microplate Reader MRX,6,2,5,3.2
Report_1003,UV-Vis Spectrophotometer UV-2600,6,1,,2.3
Report_1003,Microplate Reader MRX,7,2,5,1.8
Report_1003,HPLC System HPLC-9000,7,1,4,200.5
Report_1003,pH Meter PH-700,6,2,,7
Report_1003,Centrifuge X100,,,,
Report_1003,Viscometer VS-300,6,1,4,4889.12
Report_1003,Viscometer VS-300,6,1,,4789.59
Report_1003,Viscometer VS-300,6,1,4,4695.28
Report_1003,Centrifuge X100,,,,Sum
Report_106,HPLC System HPLC-9000,,,,165.32
Report_106,pH Meter PH-700,,,,6.8
Report_106,NMR Spectrometer NMR-500,6,,,7.2
Report_106,Centrifuge X100,,,,12000
Report_106,Viscometer VS-300,,,,7182.4
Report_106,Four Ball FB-1000,6,,,0.65
Report_106,Titrator T-905,,,,0.054
Report_1070,Mass Spectrometer MS-20,,,,1350
Report_1070,Titrator T-905,,,,8.45
Report_1070,Centrifuge X100,,,,12000
Report_1070,pH Meter PH-700,,,,6.7
Report_1070,Thermocycler TC-5000,,,,72
Report_1070,Microplate Reader MRX,,,,2.3
Report_1070,X-Ray Diffractometer XRD-6000,,,,60
Report_1070,PCR Machine PCR-96,,,,25
Report_1070,Conductivity Meter CM-215,,,,1500
Report_1079,FTIR Spectrometer FTIR-8400,0,1,5,2500
Report_1079,Conductivity Meter CM-215,6,1,5,1200
Report_1079,Mass Spectrometer MS-20,0,2,4,860
Report_1079,pH Meter PH-700,7,1,4,5.5
Report_1079,Titrator T-905,6,5,,0.5
Report_1081,Microplate Reader MRX,0,4,,2.5
Report_1081,Spectrometer Alpha-300,6,3,5,500
Report_1081,UV-Vis Spectrophotometer UV-2600,0,,,1.7
Report_1081,pH Meter PH-700,7,3,,6.8
Report_1081,Viscometer VS-300,6,3,4,4972.92
Report_1081,Viscometer VS-300,7,1,5,7118.4
Report_1081,Viscometer VS-300,,,,7658.11
Report_1083,Gas Chromatograph GC-2010,6,3,,250 ppm
Report_1083,UV-Vis Spectrophotometer UV-2600,7,2,4,2.5
Report_1083,Ion Chromatograph IC-2100,6,3,4,25
Report_1083,Centrifuge X100,7,1,5,12000
Report_1083,Four Ball FB-1000,0,3,4,0.7
Report_1087,Rheometer R-4500,6,,,300
Report_1087,Thermocycler TC-5000,6,3,4,60
Report_1087,Liquid Chromatograph LC-400,0,2,4,200
Report_1087,Four Ball FB-1000,0,3,4,0.6
Report_1087,NMR Spectrometer NMR-500,6,2,5,15
Report_1087,UV-Vis Spectrophotometer UV-2600,0,5,,2.5
Report_1087,Conductivity Meter CM-215,6,1,,1500
Report_1087,Centrifuge X100,0,2,,12000
Report_1087,Microplate Reader MRX,7,3,,3.2
Report_1087,Spectrometer Alpha-300,6,3,,600
Report_1087,Viscometer VS-300,0,2,5,1983.91
Report_1088,PCR Machine PCR-96,7,3,,22
Report_1088,Ion Chromatograph IC-2100,6,1,4,75.2
Report_1088,Thermocycler TC-5000,0,2,5,37
Report_1088,UV-Vis Spectrophotometer UV-2600,6,5,,1.8
Report_1088,Microplate Reader MRX,6,2,5,3.1
Report_1088,FTIR Spectrometer FTIR-8400,6,3,5,1245
Report_1088,Titrator T-905,7,1,4,0.005
Report_1088,X-Ray Diffractometer XRD-6000,7,1,,110
Report_1088,PCR Machine PCR-96,7,3,,32
Report_1088,Ion Chromatograph IC-2100,0,4,,58.6
Report_1088,Centrifuge X100,0,4,,2611.74
Report_1088,Centrifuge X100,0,2,5,1984.19
Report_1088,Centrifuge X100,6,2,4,5282.12
Report_109,Mass Spectrometer MS-20,0,1,,1250
Report_109,Conductivity Meter CM-215,7,2,,1500
Report_109,Mass Spectrometer MS-20,6,1,4,1100
Report_109,Rheometer R-4500,0,2,5,550
Report_109,UV-Vis Spectrophotometer UV-2600,6,2,5,2.8
Report_109,Rheometer R-4500,0,2,4,700
Report_109,Viscometer VS-300,0,1,5,2978.82
Report_109,Viscometer VS-300,0,3,,2906.76
Report_1105,Four Ball FB-1000,6,3,,0.45
Report_1105,Conductivity Meter CM-215,6,1,5,980
Report_1105,Mass Spectrometer MS-20,0,2,5,1125
Report_1105,X-Ray Diffractometer XRD-6000,0,1,,90
Report_1106,HPLC System HPLC-9000,6,1,,500
Report_1106,Ion Chromatograph IC-2100,7,4,,50
Report_1106,UV-Vis Spectrophotometer UV-2600,0,,,1.5
Report_1106,Liquid Chromatograph LC-400,6,1,,250
Report_1106,X-Ray Diffractometer XRD-6000,7,,,90
Report_1106,FTIR Spectrometer FTIR-8400,0,,,1000
Report_1106,PCR Machine PCR-96,7,2,,35
Report_1106,Microplate Reader MRX,7,2,,2
Report_1106,Titrator T-905,6,1,,5
Report_1106,Conductivity Meter CM-215,7,,,1500
Report_1119,Thermocycler TC-5000,0,3,,45
Report_1119,Rheometer R-4500,0,1,4,315
Report_1119,Gas Chromatograph GC-2010,0,3,4,150
Report_1119,FTIR Spectrometer FTIR-8400,0,2,,1800
Report_1119,Conductivity Meter CM-215,7,,,1500
Report_1119,HPLC System HPLC-9000,7,3,,0.6
Report_1119,NMR Spectrometer NMR-500,0,2,4,12
Report_1119,Titrator T-905,0,4,,0.05
Report_1121,Four Ball FB-1000,7,2,5,0.345
Report_1121,NMR Spectrometer NMR-500,6,1,,14
Report_1121,Ion Chromatograph IC-2100,7,1,4,45.678
Report_1121,Thermocycler TC-5000,7,1,5,88
Report_1121,Liquid Chromatograph LC-400,6,2,5,250
Report_1121,X-Ray Diffractometer XRD-6000,0,1,,120
Report_1125,Conductivity Meter CM-215,6,2,,1542
Report_1125,UV-Vis Spectrophotometer UV-2600,0,2,5,1.87
Report_1125,Four Ball FB-1000,0,3,4,0.675
Report_1126,Spectrometer Alpha-300,0,4,,550
Report_1126,UV-Vis Spectrophotometer UV-2600,7,,,1.8
Report_1126,Liquid Chromatograph LC-400,0,4,,300
Report_1126,Mass Spectrometer MS-20,7,,,150
Report_1126,Titrator T-905,6,1,,4.5
Report_1126,Rheometer R-4500,0,3,4,50
Report_1126,Viscometer VS-300,7,3,,7200.83
Report_1126,Viscometer VS-300,6,3,5,5135.51
Report_1126,FTIR Spectrometer FTIR-8400,6,,,1200
Report_1126,Thermocycler TC-5000,6,,,37
Report_1132,Centrifuge X100,0,2,5,12000 RPM
Report_1132,Centrifuge X100,7,3,4,9000 RPM
Report_1132,pH Meter PH-700,7,1,4,6.8
Report_1132,pH Meter PH-700,6,1,4,4.7
Report_1132,NMR Spectrometer NMR-500,6,4,,12.5 ppm
Report_1132,Titrator T-905,0,3,5,0.005 M
Report_1132,Spectrometer Alpha-300,6,2,,250 nm
Report_1132,Viscometer VS-300,0,3,,2795.14 cP
Report_1132,Viscometer VS-300,6,3,5,5120.14 cP
Report_1143,Mass Spectrometer MS-20,0,2,4,1350
Report_1143,Titrator T-905,0,3,4,5.7
Report_1143,Ion Chromatograph IC-2100,0,1,5,75
Report_1143,Gas Chromatograph GC-2010,7,,,250
Report_1143,NMR Spectrometer NMR-500,0,3,,15
Report_1143,Thermocycler TC-5000,0,,,25
Report_1143,Viscometer VS-300,0,,,2571.01
Report_1143,Viscometer VS-300,7,4,,7558.42
Report_1143,Viscometer VS-300,7,2,4,7574.33
Report_1147,HPLC System HPLC-9000,,,,27.5
Report_1147,NMR Spectrometer NMR-500,,,,15.8
Report_1147,Gas Chromatograph GC-2010,,,,320.4
Report_1147,Liquid Chromatograph LC-400,,,,302.1
Report_1147,Microplate Reader MRX,,,,3.2
Report_1147,Thermocycler TC-5000,,,,57
Report_1147,X-Ray Diffractometer XRD-6000,,,,120
Report_1147,Viscometer VS-300,,,,7702.88
Report_1147,Viscometer VS-300,,,,5001.23
Report_1147,Viscometer VS-300,,,,4944.41
Report_1154,Four Ball FB-1000,0,2,5,Wear Scar Diameter
Report_1154,Spectrometer Alpha-300,0,2,,Absorption Wavelength
Report_1154,PCR Machine PCR-96,0,3,4,Cycle Count
Report_1154,Conductivity Meter CM-215,6,5,,Conductivity
Report_1154,Centrifuge X100,7,1,4,Speed
Report_1154,UV-Vis Spectrophotometer UV-2600,7,4,,Optical Density
Report_1154,Thermocycler TC-5000,7,3,4,Temperature
Report_1162,Mass Spectrometer MS-20,7,,,1500
Report_1162,Liquid Chromatograph LC-400,6,1,4,250
Report_1162,HPLC System HPLC-9000,6,5,,200
Report_1162,Gas Chromatograph GC-2010,6,,,80
Report_1162,UV-Vis Spectrophotometer UV-2600,0,2,,1.8
Report_1162,Titrator T-905,0,1,,0.005
Report_1162,Rheometer R-4500,7,,,500
