report_id,instrument,product,result,product1_id,product2_id,product3_id
Report_1000,Thermocycler TC-5000,"Coconut Oil, Cetyl Alcohol, Glycerin",59,Coconut Oil,Cetyl Alcohol,Glycerin
Report_1000,Titrator T-905,"Coconut Oil, Beeswax, Vitamin E",0.008,Coconut Oil,Beeswax,Vitamin E
Report_1000,NMR Spectrometer NMR-500,"Coconut Oil, Cetyl Alcohol, Glycerin",15.2,Coconut Oil,Cetyl Alcohol,Glycerin
Report_1000,Spectrometer Alpha-300,"Almond Oil, Gum, Glycerin",530,Almond Oil,Gum,Glycerin
Report_1000,pH Meter PH-700,"Almond Oil, Gum, Vitamin E",6.5,Almond Oil,Gum,Vitamin E
Report_1000,Liquid Chromatograph LC-400,"Almond Oil, Gum, Glycerin",320,Almond Oil,Gum,Glycerin
Report_1003,Centrifuge X100,"Jojoba Oil, Cetyl Alcohol, Vitamin E",12000,Jojoba Oil,Cetyl Alcohol,Vitamin E
Report_1003,UV-Vis Spectrophotometer UV-2600,"Coconut Oil, Gum, Vitamin E",1.5,Coconut Oil,Gum,Vitamin E
Report_1003,Microplate Reader MRX,"Coconut Oil, Gum, Glycerin",3.2,Coconut Oil,Gum,Glycerin
Report_1003,Microplate Reader MRX,"Almond Oil, Gum, Glycerin",1.8,Almond Oil,Gum,Glycerin
Report_1003,HPLC System HPLC-9000,"Almond Oil, Beeswax, Vitamin E",200.5,Almond Oil,Beeswax,Vitamin E
Report_1003,Viscometer VS-300,"Coconut Oil, Beeswax, Vitamin E",4889.12,Coconut Oil,Beeswax,Vitamin E
Report_1003,Viscometer VS-300,"Coconut Oil, Beeswax, Vitamin E",4695.28,Coconut Oil,Beeswax,Vitamin E
Report_1081,Spectrometer Alpha-300,"Coconut Oil, Cetyl Alcohol, Glycerin",500,Coconut Oil,Cetyl Alcohol,Glycerin
Report_1081,Viscometer VS-300,"Coconut Oil, Cetyl Alcohol, Vitamin E",4972.92,Coconut Oil,Cetyl Alcohol,Vitamin E
Report_1081,Viscometer VS-300,"Almond Oil, Beeswax, Glycerin",7118.4,Almond Oil,Beeswax,Glycerin
Report_1083,UV-Vis Spectrophotometer UV-2600,"Almond Oil, Gum, Vitamin E",2.5,Almond Oil,Gum,Vitamin E
Report_1083,Ion Chromatograph IC-2100,"Coconut Oil, Cetyl Alcohol, Vitamin E",25,Coconut Oil,Cetyl Alcohol,Vitamin E
Report_1083,Centrifuge X100,"Almond Oil, Beeswax, Glycerin",12000,Almond Oil,Beeswax,Glycerin
Report_1083,Four Ball FB-1000,"Jojoba Oil, Cetyl Alcohol, Vitamin E",0.700,Jojoba Oil,Cetyl Alcohol,Vitamin E
Report_1087,Thermocycler TC-5000,"Coconut Oil, Cetyl Alcohol, Vitamin E",60,Coconut Oil,Cetyl Alcohol,Vitamin E
Report_1087,Liquid Chromatograph LC-400,"Jojoba Oil, Gum, Vitamin E",200,Jojoba Oil,Gum,Vitamin E
Report_1087,Four Ball FB-1000,"Jojoba Oil, Cetyl Alcohol, Vitamin E",0.6,Jojoba Oil,Cetyl Alcohol,Vitamin E
Report_1087,NMR Spectrometer NMR-500,"Coconut Oil, Gum, Glycerin",15,Coconut Oil,Gum,Glycerin
Report_1087,Viscometer VS-300,"Jojoba Oil, Gum, Glycerin",1983.91,Jojoba Oil,Gum,Glycerin
Report_1088,Ion Chromatograph IC-2100,"Coconut Oil, Beeswax, Vitamin E",75.2,Coconut Oil,Beeswax,Vitamin E
Report_1088,TC-5000,"Jojoba Oil, Gum, Glycerin",37,Jojoba Oil,Gum,Glycerin
Report_1088,MRX,"Coconut Oil, Gum, Glycerin",3.1,Coconut Oil,Gum,Glycerin
Report_1088,FTIR-8400,"Coconut Oil, Cetyl Alcohol, Glycerin",1245,Coconut Oil,Cetyl Alcohol,Glycerin
Report_1088,T-905,"Almond Oil, Beeswax, Vitamin E",0.005,Almond Oil,Beeswax,Vitamin E
Report_1088,Viscometer VS-300,"Jojoba Oil, Gum, Glycerin",1984.19,Jojoba Oil,Gum,Glycerin
Report_1088,Viscometer VS-300,"Coconut Oil, Gum, Vitamin E",5282.12,Coconut Oil,Gum,Vitamin E
Report_109,Mass Spectrometer MS-20,"Coconut Oil, Beeswax, Vitamin E",1100,Coconut Oil,Beeswax,Vitamin E
Report_109,Rheometer R-4500,"Jojoba Oil, Gum, Glycerin",550,Jojoba Oil,Gum,Glycerin
Report_109,UV-Vis Spectrophotometer UV-2600,"Coconut Oil, Gum, Glycerin",2.8,Coconut Oil,Gum,Glycerin
Report_109,Rheometer R-4500,"Jojoba Oil, Gum, Vitamin E",700,Jojoba Oil,Gum,Vitamin E
Report_109,Viscometer VS-300,"Jojoba Oil, Beeswax, Glycerin",2978.82,Jojoba Oil,Beeswax,Glycerin
Report_1125,UV-Vis Spectrophotometer UV-2600,"Jojoba Oil, Gum, Glycerin",1.87,Jojoba Oil,Gum,Glycerin
Report_1125,Four Ball FB-1000,"Jojoba Oil, Cetyl Alcohol, Vitamin E",0.675,Jojoba Oil,Cetyl Alcohol,Vitamin E
Report_1162,LC-400,"Coconut Oil, Beeswax, Vitamin E",250,Coconut Oil,Beeswax,Vitamin E
Report_1162,VS-300,"Almond Oil, Gum, Glycerin",7694.27,Almond Oil,Gum,Glycerin
Report_1172,MS-20,"Almond Oil, Cetyl Alcohol, Glycerin",845,Almond Oil,Cetyl Alcohol,Glycerin
Report_1172,FB-1000,"Coconut Oil, Cetyl Alcohol, Glycerin",0.75,Coconut Oil,Cetyl Alcohol,Glycerin
Report_1172,HPLC-9000,"Jojoba Oil, Cetyl Alcohol, Glycerin",150,Jojoba Oil,Cetyl Alcohol,Glycerin
Report_1172,NMR-500,"Jojoba Oil, Beeswax, Glycerin",12,Jojoba Oil,Beeswax,Glycerin
Report_1185,HPLC System HPLC-9000,"Almond Oil, Beeswax, Vitamin E",0.75,Almond Oil,Beeswax,Vitamin E
Report_1185,Conductivity Meter CM-215,"Almond Oil, Beeswax, Glycerin",1800,Almond Oil,Beeswax,Glycerin
Report_1194,Microplate Reader MRX,"Jojoba Oil, Gum, Vitamin E",3.2,Jojoba Oil,Gum,Vitamin E
Report_1194,UV-Vis Spectrophotometer UV-2600,"Jojoba Oil, Beeswax, Vitamin E",2.8,Jojoba Oil,Beeswax,Vitamin E
Report_1194,PCR Machine PCR-96,"Almond Oil, Gum, Glycerin",16.5,Almond Oil,Gum,Glycerin
Report_120,UV-Vis Spectrophotometer UV-2600,"Coconut Oil, Cetyl Alcohol, Glycerin",1.2,Coconut Oil,Cetyl Alcohol,Glycerin
Report_120,pH Meter PH-700,"Jojoba Oil, Cetyl Alcohol, Vitamin E",7.4,Jojoba Oil,Cetyl Alcohol,Vitamin E
Report_120,Viscometer VS-300,"Coconut Oil, Cetyl Alcohol, Vitamin E",5025.2,Coconut Oil,Cetyl Alcohol,Vitamin E
Report_120,Viscometer VS-300,"Almond Oil, Beeswax, Glycerin",7108.01,Almond Oil,Beeswax,Glycerin
Report_1200,Rheometer R-4500,"Almond Oil, Cetyl Alcohol, Vit E",750,Almond Oil,Cetyl Alcohol,Vit E
Report_1200,pH Meter PH-700,"Almond Oil, Gum, Vitamin E",7,Almond Oil,Gum,Vitamin E
Report_1200,pH Meter PH-700,"Jojoba Oil, Cetyl Alcohol, Glyc",6,Jojoba Oil,Cetyl Alcohol,Glyc
Report_1200,Microplate Reader MRX,"Coconut Oil, Gum, Vit E",2.5,Coconut Oil,Gum,Vit E
Report_1200,Spectrometer Alpha-300,"Coconut Oil, Beeswax, Vit E",450,Coconut Oil,Beeswax,Vit E
Report_1200,NMR Spectrometer NMR-500,"Jojoba Oil, Gum, Glycerin",10,Jojoba Oil,Gum,Glycerin
Report_1200,FTIR Spectrometer FTIR-8400,"Coconut Oil, Cetyl Alcohol, Vit E",1500,Coconut Oil,Cetyl Alcohol,Vit E
Report_1200,Viscometer VS-300,"Jojoba Oil, Cetyl Alcohol, Glyc",2695.16,Jojoba Oil,Cetyl Alcohol,Glyc
Report_1206,X-Ray Diffractometer XRD-6000,"Jojoba Oil, Gum, Vitamin E",45,Jojoba Oil,Gum,Vitamin E
