report_id,machine_id,ing_1_id,ing_2_id,ing_3_id,result,unit_id
1000,2,6,3,5,59,
1000,15,6,1,4,0.008,
1000,12,6,3,5,15.2,
1000,3,7,5,,2.3,
1000,6,7,4,,345,
1000,1,7,2,5,530,
1000,7,7,2,4,6.5,
1000,17,7,5,,0.056,
1000,4,7,4,,200,
1000,5,7,2,5,320,
1000,19,7,3,,7289.68,
1003,0,7,3,,10500,
1003,14,7,,,95.3,
1003,0,,,,Data,
1003,0,0,3,4,12000,
1003,9,6,2,4,1.5,
1003,3,6,2,5,3.2,
1003,9,6,1,,2.3,
1003,3,7,2,5,1.8,
1003,10,7,1,4,200.5,
1003,7,6,2,,7,
1003,0,,,,,
1003,19,6,1,4,4889.12,
1003,19,6,1,,4789.59,
1003,19,6,1,4,4695.28,
1003,0,,,,Sum,
1070,6,,,,1350,
1070,15,,,,8.45,
1070,0,,,,12000,
1070,7,,,,6.7,
1070,2,,,,72,
1070,3,,,,2.3,
1070,13,,,,60,
1070,16,,,,25,
1070,8,,,,1500,
1081,3,0,4,,2.5,
1081,1,6,3,5,500,
1081,9,0,,,1.7,
1081,7,7,3,,6.8,
1081,19,6,3,4,4972.92,
1081,19,7,1,5,7118.4,
1081,19,,,,7658.11,
1083,4,6,3,,250 ppm,
1083,9,7,2,4,2.5,
1083,17,6,3,4,25,
1083,0,7,1,5,12000,
1083,18,0,3,4,0.7,
1087,14,6,,,300,
1087,2,6,3,4,60,
1087,5,0,2,4,200,
1087,18,0,3,4,0.6,
1087,12,6,2,5,15,
1087,9,0,5,,2.5,
1087,8,6,1,,1500,
1087,0,0,2,,12000,
1087,3,7,3,,3.2,
1087,1,6,3,,600,
1087,19,0,2,5,1983.91,
1088,16,7,3,,22,
1088,17,6,1,4,75.2,
1088,2,0,2,5,37,
1088,9,6,5,,1.8,
1088,3,6,2,5,3.1,
1088,11,6,3,5,1245,
1088,15,7,1,4,0.005,
1088,13,7,1,,110,
1088,16,7,3,,32,
1088,17,0,4,,58.6,
1088,0,0,4,,2611.74,
1088,0,0,2,5,1984.19,
1088,0,6,2,4,5282.12,
109,6,0,1,,1250,
109,8,7,2,,1500,
109,6,6,1,4,1100,
109,14,0,2,5,550,
109,9,6,2,5,2.8,
109,14,0,2,4,700,
109,19,0,1,5,2978.82,
109,19,0,3,,2906.76,
1106,10,6,1,,500,
1106,17,7,4,,50,
1106,9,0,,,1.5,
1106,5,6,1,,250,
1106,13,7,,,90,
1106,11,0,,,1000,
1106,16,7,2,,35,
1106,3,7,2,,2,
1106,15,6,1,,5,
1106,8,7,,,1500,
1125,8,6,2,,1542,
1125,9,0,2,5,1.87,
1125,18,0,3,4,0.675,
1162,6,7,,,1500,
1162,5,6,1,4,250,
1162,10,6,5,,200,
1162,4,6,,,80,
1162,9,0,2,,1.8,
1162,15,0,1,,0.005,
1162,14,7,,,500,
1162,19,6,,,5098.96,
1162,19,7,4,,7440.05,
1162,19,7,2,5,7694.27,
1172,6,7,3,5,845,
1172,6,6,5,,1958,
1172,19,6,1,,4804.3,
1172,18,6,3,5,0.75,
1172,18,6,4,,0.65,
1172,8,7,5,,520,
1172,10,0,3,5,150,
1172,12,0,1,5,12,
1172,4,0,2,,0.75,
1185,4,6,,,500,
1185,17,7,,,75,
1185,10,7,1,4,0.75,
1185,14,,,,350,
1185,19,,,,1947.43,
1185,8,7,1,5,1800,
1185,18,7,,,0.55,
1185,0,6,2,,12000,
1194,3,0,2,4,3.2,
1194,9,0,1,4,2.8,
1194,16,7,2,5,16.5,
1195,13,,,,120 °C,
1195,11,,,,1500 1/cm,
120,9,6,3,5,1.2,
120,10,6,1,,250.5,
120,4,7,3,,450.8,
120,10,7,2,,500.2,
120,14,0,3,,25.4,
120,7,0,3,4,7.4,
120,19,6,3,4,5025.2,
120,19,7,1,5,7108.01,
1200,14,0,1,,500,
1200,14,7,3,,750,
1200,7,7,2,4,7,
1200,7,0,3,,6,
1200,13,6,,,100,
1200,13,7,1,,120,
1200,3,6,2,,2.5,
1200,1,6,1,,450,
1200,12,0,2,5,10,
1200,11,6,3,,1500,
1200,19,0,3,,2695.16,
1200,19,6,4,,4727.33,
1206,18,7,5,,0.65,
1206,13,0,2,4,45,
1206,6,6,3,,1500,
1206,17,7,1,4,50,
1223,10,0,,,870.5,
1223,13,0,,,50,
1223,2,6,,,72,
1223,6,7,,,1200,
1223,7,6,,,7,
1223,16,7,,,25,
1223,18,0,,,0.6,
1223,14,6,,,250,
1223,9,7,,,1.8,
1223,19,6,,,4802.12,
1223,19,7,,,7418.99,
1226,6,0,2,4,1750,
1226,5,6,5,,250,
1226,12,0,3,,5.5,
1226,9,7,1,4,1.8,
1226,8,0,3,5,1500,
1226,19,7,5,,7446.19,
1226,19,6,4,,5042.01,
1226,18,7,2,,0.75,
1226,2,6,2,5,85,
