report_id,instrument,product1_id,product2_id,product3_id,result
1000,2,6.0,3.0,5.0,59
1000,15,6.0,1.0,4.0,0.008
1000,12,6.0,3.0,5.0,15.2
1000,3,7.0,5.0,,2.3
1000,6,7.0,4.0,,345
1000,1,7.0,2.0,5.0,530
1000,7,7.0,2.0,4.0,6.5
1000,17,7.0,5.0,,0.056
1000,4,7.0,4.0,,200
1000,5,7.0,2.0,5.0,320
1000,19,7.0,3.0,,7289.68
1003,0,7.0,3.0,,10500
1003,14,7.0,,,95.3
1003,0,,,,
1003,0,0.0,3.0,4.0,12000
1003,9,6.0,2.0,4.0,1.5
1003,3,6.0,2.0,5.0,3.2
1003,9,6.0,1.0,,2.3
1003,3,7.0,2.0,5.0,1.8
1003,10,7.0,1.0,4.0,200.5
1003,7,6.0,2.0,,7
1003,0,,,,
1003,19,6.0,1.0,4.0,4889.12
1003,19,6.0,1.0,,4789.59
1003,19,6.0,1.0,4.0,4695.28
1003,0,,,,
1070,6,,,,1350
1070,15,,,,8.45
1070,0,,,,12000
1070,7,,,,6.7
1070,2,,,,72
1070,3,,,,2.3
1070,13,,,,60
1070,16,,,,25
1070,8,,,,1500
1081,3,0.0,4.0,,2.5
1081,1,6.0,3.0,5.0,500
1081,9,0.0,,,1.7
1081,7,7.0,3.0,,6.8
1081,19,6.0,3.0,4.0,4972.92
1081,19,7.0,1.0,5.0,7118.4
1081,19,,,,7658.11
1083,4,6.0,3.0,,
1083,9,7.0,2.0,4.0,2.5
1083,17,6.0,3.0,4.0,25
1083,0,7.0,1.0,5.0,12000
1083,18,0.0,3.0,4.0,0.7
1087,14,6.0,,,300
1087,2,6.0,3.0,4.0,60
1087,5,0.0,2.0,4.0,200
1087,18,0.0,3.0,4.0,0.6
1087,12,6.0,2.0,5.0,15
1087,9,0.0,5.0,,2.5
1087,8,6.0,1.0,,1500
1087,0,0.0,2.0,,12000
1087,3,7.0,3.0,,3.2
1087,1,6.0,3.0,,600
1087,19,0.0,2.0,5.0,1983.91
1088,16,7.0,3.0,,22
1088,17,6.0,1.0,4.0,75.2
1088,2,0.0,2.0,5.0,37
1088,9,6.0,5.0,,1.8
1088,3,6.0,2.0,5.0,3.1
1088,11,6.0,3.0,5.0,1245
1088,15,7.0,1.0,4.0,0.005
1088,13,7.0,1.0,,110
1088,16,7.0,3.0,,32
1088,17,0.0,4.0,,58.6
1088,0,0.0,4.0,,2611.74
1088,0,0.0,2.0,5.0,1984.19
1088,0,6.0,2.0,4.0,5282.12
109,6,0.0,1.0,,1250
109,8,7.0,2.0,,1500
109,6,6.0,1.0,4.0,1100
109,14,0.0,2.0,5.0,550
109,9,6.0,2.0,5.0,2.8
109,14,0.0,2.0,4.0,700
109,19,0.0,1.0,5.0,2978.82
109,19,0.0,3.0,,2906.76
1106,10,6.0,1.0,,500
1106,17,7.0,4.0,,50
1106,9,0.0,,,1.5
1106,5,6.0,1.0,,250
1106,13,7.0,,,90
1106,11,0.0,,,1000
1106,16,7.0,2.0,,35
1106,3,7.0,2.0,,2
1106,15,6.0,1.0,,5
1106,8,7.0,,,1500
1125,8,6.0,2.0,,1542
1125,9,0.0,2.0,5.0,1.87
1125,18,0.0,3.0,4.0,0.675
1162,6,7.0,,,1500
1162,5,6.0,1.0,4.0,250
1162,10,6.0,5.0,,200
1162,4,6.0,,,80
1162,9,0.0,2.0,,1.8
1162,15,0.0,1.0,,0.005
1162,14,7.0,,,500
1162,19,6.0,,,5098.96
1162,19,7.0,4.0,,7440.05
1162,19,7.0,2.0,5.0,7694.27
1172,6,7.0,3.0,5.0,845
1172,6,6.0,5.0,,1958
1172,19,6.0,1.0,,4804.3
1172,18,6.0,3.0,5.0,0.75
1172,18,6.0,4.0,,0.65
1172,8,7.0,5.0,,520
1172,10,0.0,3.0,5.0,150
1172,12,0.0,1.0,5.0,12
1172,4,0.0,2.0,,0.75
1185,4,6.0,,,500
1185,17,7.0,,,75
1185,10,7.0,1.0,4.0,0.75
1185,14,,,,350
1185,19,,,,1947.43
1185,8,7.0,1.0,5.0,1800
1185,18,7.0,,,0.55
1185,0,6.0,2.0,,12000
1194,3,0.0,2.0,4.0,3.2
1194,9,0.0,1.0,4.0,2.8
1194,16,7.0,2.0,5.0,16.5
1195,13,,,,
1195,11,,,,
120,9,6.0,3.0,5.0,1.2
120,10,6.0,1.0,,250.5
120,4,7.0,3.0,,450.8
120,10,7.0,2.0,,500.2
120,14,0.0,3.0,,25.4
120,7,0.0,3.0,4.0,7.4
120,19,6.0,3.0,4.0,5025.2
120,19,7.0,1.0,5.0,7108.01
1200,14,0.0,1.0,,500
1200,14,7.0,3.0,,750
1200,7,7.0,2.0,4.0,7
1200,7,0.0,3.0,,6
1200,13,6.0,,,100
1200,13,7.0,1.0,,120
1200,3,6.0,2.0,,2.5
1200,1,6.0,1.0,,450
1200,12,0.0,2.0,5.0,10
1200,11,6.0,3.0,,1500
1200,19,0.0,3.0,,2695.16
1200,19,6.0,4.0,,4727.33
1206,18,7.0,5.0,,0.65
1206,13,0.0,2.0,4.0,45
1206,6,6.0,3.0,,1500
1206,17,7.0,1.0,4.0,50
1223,10,0.0,,,870.5
1223,13,0.0,,,50
1223,2,6.0,,,72
1223,6,7.0,,,1200
1223,7,6.0,,,7
1223,16,7.0,,,25
1223,18,0.0,,,0.6
1223,14,6.0,,,250
1223,9,7.0,,,1.8
1223,19,6.0,,,4802.12
1223,19,7.0,,,7418.99
1226,6,0.0,2.0,4.0,1750
1226,5,6.0,5.0,,250
1226,12,0.0,3.0,,5.5
1226,9,7.0,1.0,4.0,1.8
1226,8,0.0,3.0,5.0,1500
1226,19,7.0,5.0,,7446.19
1226,19,6.0,4.0,,5042.01
1226,18,7.0,2.0,,0.75
1226,2,6.0,2.0,5.0,85
1228,11,6.0,4.0,,
1228,12,7.0,1.0,4.0,
1228,13,0.0,1.0,,
1228,17,7.0,1.0,5.0,
1228,7,6.0,1.0,5.0,
1228,5,6.0,2.0,5.0,
1228,9,6.0,3.0,,
1228,10,0.0,3.0,4.0,
1228,0,0.0,3.0,5.0,
1228,1,7.0,3.0,4.0,
1237,1,0.0,3.0,,300
1237,10,6.0,3.0,5.0,0.5
1237,5,6.0,1.0,4.0,50
1237,4,7.0,1.0,4.0,500
1237,6,7.0,2.0,5.0,1500
1237,8,7.0,3.0,,1000
1237,16,0.0,4.0,,30
1237,0,,,,
1237,1,6.0,2.0,4.0,450
1237,10,6.0,4.0,,0.7
1253,1,0.0,4.0,,
1253,7,6.0,4.0,,
1253,5,7.0,1.0,5.0,
1253,13,0.0,2.0,4.0,
1253,2,6.0,2.0,,
1253,8,6.0,3.0,5.0,
1253,15,7.0,2.0,,
1253,19,7.0,,,
1253,19,0.0,2.0,5.0,
1262,14,6.0,1.0,,
1262,18,7.0,2.0,,
1262,17,6.0,,5.0,
1262,13,0.0,,,
1262,3,6.0,4.0,,
1262,0,7.0,1.0,,
1262,7,6.0,1.0,5.0,
1262,11,7.0,2.0,5.0,
1262,19,6.0,,,
1262,19,6.0,5.0,,
128,18,6.0,2.0,,
128,5,7.0,2.0,4.0,
128,0,0.0,3.0,4.0,
128,19,6.0,1.0,4.0,
1308,11,,,,3500
1308,15,,,,0.002
1308,18,,,,0.75
1308,19,,,,4844.69
1308,19,,,,7284.85
1316,0,0.0,1.0,5.0,
1316,0,6.0,4.0,,
1316,0,0.0,1.0,5.0,
133,1,7.0,5.0,,750
133,9,0.0,3.0,5.0,1.25
133,3,7.0,3.0,,2.5
133,1,0.0,1.0,4.0,850
133,18,6.0,2.0,,0.5
133,18,6.0,,,0.75
133,8,0.0,1.0,5.0,1500
133,8,7.0,3.0,,1800
133,19,7.0,1.0,5.0,7322.09
133,19,0.0,3.0,5.0,2628.15
133,17,6.0,2.0,4.0,75
1344,12,,,,15.3
1344,4,7.0,3.0,5.0,329.9
1344,6,,,,1024
1344,17,,,,18.6
1344,7,,,,7.1
1344,15,6.0,,,5.2
1344,19,0.0,2.0,5.0,1856.31
1344,19,0.0,2.0,5.0,1880.08
1344,19,7.0,1.0,4.0,7164.26
1344,16,0.0,3.0,5.0,28.4
1344,9,6.0,,,1.7
1344,3,7.0,3.0,4.0,2.8
1344,10,7.0,2.0,4.0,482.7
1352,4,,,,350
1352,1,,,,600
1352,9,,,,1.8
1352,10,,,,550
1352,3,,,,3.2
1352,11,,,,1700
1352,19,,,,4931.43
1352,19,,,,4719.76
1356,6,,,,
1356,0,,,,
1356,1,,,,
1356,7,,,,
1363,17,0.0,2.0,,
1363,5,6.0,2.0,4.0,
1363,14,7.0,2.0,4.0,
1374,4,7.0,3.0,5.0,750
1374,10,6.0,2.0,5.0,850
1374,14,0.0,1.0,4.0,400
1374,5,7.0,1.0,,300
1374,8,6.0,5.0,,1800
1374,9,7.0,4.0,,2.5
1374,18,0.0,1.0,4.0,0.8
1374,0,7.0,,,12000
1374,19,6.0,2.0,,5271.27
1374,19,6.0,5.0,,4813.05
1374,19,7.0,3.0,,7231.66
1378,3,7.0,2.0,,3.2
1378,6,7.0,4.0,,1587
1378,3,7.0,1.0,,2.5
1378,6,0.0,2.0,,1300
1378,4,7.0,2.0,5.0,678
1378,8,0.0,3.0,5.0,1540
1378,18,7.0,1.0,5.0,0.753
1378,18,0.0,3.0,,0.845
1378,15,0.0,1.0,,0.962
138,5,6.0,1.0,,125.5
138,8,0.0,3.0,4.0,750
138,14,6.0,4.0,,5.75
138,9,0.0,5.0,,1.2
138,12,0.0,3.0,,10.5
138,17,,1.0,,15.5
138,13,0.0,2.0,4.0,110
138,7,0.0,,,7.5
138,11,7.0,1.0,,1100
138,10,,,,150.25
138,19,6.0,2.0,,5297.74
138,19,0.0,3.0,,2818.33
1384,10,,,,0.05
1384,12,,,,15
1402,12,0.0,3.0,5.0,12.5
1402,4,7.0,3.0,5.0,150
1402,5,0.0,2.0,,50
1402,10,0.0,1.0,5.0,250
1402,12,7.0,5.0,,15
1402,0,7.0,3.0,5.0,8000
1402,0,0.0,3.0,5.0,12000
1402,15,0.0,1.0,5.0,0.005
1402,15,7.0,2.0,,0.002
1402,19,0.0,2.0,,2034.24
1402,19,7.0,5.0,,7637.9
1423,12,0.0,1.0,,15.2
1423,6,0.0,1.0,,1450.5
143,3,0.0,3.0,5.0,3.2
143,1,6.0,1.0,5.0,550
143,8,7.0,1.0,,750
143,7,6.0,3.0,,5.5
143,12,7.0,2.0,4.0,12
143,18,6.0,4.0,,0.65
143,19,6.0,3.0,5.0,5170.29
143,19,7.0,5.0,,7551.4
1432,1,6.0,2.0,5.0,715
1432,11,0.0,3.0,,1500
1432,10,0.0,2.0,,65
1432,4,6.0,1.0,4.0,0.5
1432,8,0.0,2.0,5.0,1200
1432,14,0.0,3.0,4.0,0.9
1445,11,4.0,,,1230
1445,13,3.0,5.0,,57
1445,18,2.0,4.0,,0.45
1445,3,3.0,,,3.2
1445,17,2.0,5.0,,0.015
1445,11,5.0,,,1750
1445,19,2.0,,,5185.99
1445,19,4.0,,,2543.56
1445,19,3.0,4.0,,7355.07
1464,5,7.0,3.0,,
1464,10,0.0,4.0,,
1464,12,0.0,3.0,4.0,
1464,15,0.0,1.0,,
1464,9,0.0,3.0,4.0,
1466,3,7.0,1.0,4.0,2.7
1466,12,7.0,2.0,5.0,12
1466,13,7.0,1.0,5.0,85
1466,16,6.0,2.0,,25
1466,10,6.0,1.0,4.0,234
1466,2,0.0,3.0,5.0,72
1471,12,7.0,3.0,4.0,15
1471,4,6.0,3.0,,35.5
1471,10,6.0,3.0,4.0,487.5
1471,17,6.0,1.0,5.0,78.2
1471,7,7.0,2.0,,6.4
1471,13,0.0,2.0,,120
1471,9,7.0,2.0,4.0,1.8
1473,12,7.0,4.0,,15
1473,9,0.0,3.0,4.0,2.5
1473,14,6.0,,,950
1473,15,6.0,5.0,,8
1473,19,7.0,2.0,4.0,7543.98
1473,19,7.0,1.0,4.0,7451.81
1473,19,7.0,1.0,,7125.94
1479,9,0.0,5.0,,1.2
1479,9,6.0,2.0,5.0,3.1
1479,0,0.0,4.0,,12000
1479,0,0.0,2.0,,7500
1479,15,6.0,1.0,4.0,0.005
1479,15,6.0,1.0,5.0,0.15
1479,4,7.0,2.0,,250
1479,4,7.0,4.0,,350
1479,13,6.0,5.0,,50
1479,19,6.0,1.0,4.0,4742.29
1479,19,6.0,2.0,,5447.12
1479,19,6.0,1.0,4.0,4695.79
1481,11,6.0,,,10
1481,6,7.0,,,589
1481,12,0.0,,,15
1481,16,6.0,,,30
1481,10,7.0,,,590
1483,4,7.0,1.0,5.0,250
1483,18,6.0,3.0,,0.75
1483,3,7.0,3.0,5.0,2.5
