report_id,instrument,product1_id,product2_id,product3_id,result
100,6,7.0,1.0,,Mass-to-Charge
100,13,0.0,,,Crystal Structure
100,17,7.0,1.0,,Ion Concentration
100,8,6.0,5.0,,Conductivity
100,0,,,,
1000,2,6.0,3.0,5.0,59
1000,15,6.0,1.0,4.0,0.008
1000,12,6.0,3.0,5.0,15.2
1000,3,7.0,5.0,,2.3
1000,6,7.0,4.0,,345
1000,1,7.0,2.0,5.0,530
1000,7,7.0,2.0,4.0,6.5
1000,17,7.0,5.0,,0.056
1000,4,7.0,4.0,,200
1000,5,7.0,2.0,5.0,320
1000,19,7.0,3.0,,7289.68
1003,0,7.0,3.0,,10500
1003,14,7.0,,,95.3
1003,0,,,,Data
1003,0,0.0,3.0,4.0,12000
1003,9,6.0,2.0,4.0,1.5
1003,3,6.0,2.0,5.0,3.2
1003,9,6.0,1.0,,2.3
1003,3,7.0,2.0,5.0,1.8
1003,10,7.0,1.0,4.0,200.5
1003,7,6.0,2.0,,7
1003,0,,,,
1003,19,6.0,1.0,4.0,4889.12
1003,19,6.0,1.0,,4789.59
1003,19,6.0,1.0,4.0,4695.28
1003,0,,,,Sum
106,10,,,,165.32
106,7,,,,6.8
106,12,6.0,,,7.2
106,0,,,,12000
106,19,,,,7182.4
106,18,6.0,,,0.65
106,15,,,,0.054
1070,6,,,,1350
1070,15,,,,8.45
1070,0,,,,12000
1070,7,,,,6.7
1070,2,,,,72
1070,3,,,,2.3
1070,13,,,,60
1070,16,,,,25
1070,8,,,,1500
1079,11,0.0,1.0,5.0,2500
1079,8,6.0,1.0,5.0,1200
1079,6,0.0,2.0,4.0,860
1079,7,7.0,1.0,4.0,5.5
1079,15,6.0,5.0,,0.5
1081,3,0.0,4.0,,2.5
1081,1,6.0,3.0,5.0,500
1081,9,0.0,,,1.7
1081,7,7.0,3.0,,6.8
1081,19,6.0,3.0,4.0,4972.92
1081,19,7.0,1.0,5.0,7118.4
1081,19,,,,7658.11
1083,4,6.0,3.0,,250 ppm
1083,9,7.0,2.0,4.0,2.5
1083,17,6.0,3.0,4.0,25
1083,0,7.0,1.0,5.0,12000
1083,18,0.0,3.0,4.0,0.7
1087,14,6.0,,,300
1087,2,6.0,3.0,4.0,60
1087,5,0.0,2.0,4.0,200
1087,18,0.0,3.0,4.0,0.6
1087,12,6.0,2.0,5.0,15
1087,9,0.0,5.0,,2.5
1087,8,6.0,1.0,,1500
1087,0,0.0,2.0,,12000
1087,3,7.0,3.0,,3.2
1087,1,6.0,3.0,,600
1087,19,0.0,2.0,5.0,1983.91
1088,16,7.0,3.0,,22
1088,17,6.0,1.0,4.0,75.2
1088,2,0.0,2.0,5.0,37
1088,9,6.0,5.0,,1.8
1088,3,6.0,2.0,5.0,3.1
1088,11,6.0,3.0,5.0,1245
1088,15,7.0,1.0,4.0,0.005
1088,13,7.0,1.0,,110
1088,16,7.0,3.0,,32
1088,17,0.0,4.0,,58.6
1088,0,0.0,4.0,,2611.74
1088,0,0.0,2.0,5.0,1984.19
1088,0,6.0,2.0,4.0,5282.12
109,6,0.0,1.0,,1250
109,8,7.0,2.0,,1500
109,6,6.0,1.0,4.0,1100
109,14,0.0,2.0,5.0,550
109,9,6.0,2.0,5.0,2.8
109,14,0.0,2.0,4.0,700
109,19,0.0,1.0,5.0,2978.82
109,19,0.0,3.0,,2906.76
1105,18,6.0,3.0,,0.45
1105,8,6.0,1.0,5.0,980
1105,6,0.0,2.0,5.0,1125
1105,13,0.0,1.0,,90
1106,10,6.0,1.0,,500
1106,17,7.0,4.0,,50
1106,9,0.0,,,1.5
1106,5,6.0,1.0,,250
1106,13,7.0,,,90
1106,11,0.0,,,1000
1106,16,7.0,2.0,,35
1106,3,7.0,2.0,,2
1106,15,6.0,1.0,,5
1106,8,7.0,,,1500
1119,2,0.0,3.0,,45
1119,14,0.0,1.0,4.0,315
1119,4,0.0,3.0,4.0,150
1119,11,0.0,2.0,,1800
1119,8,7.0,,,1500
1119,10,7.0,3.0,,0.6
1119,12,0.0,2.0,4.0,12
1119,15,0.0,4.0,,0.05
1121,18,7.0,2.0,5.0,0.345
1121,12,6.0,1.0,,14
1121,17,7.0,1.0,4.0,45.678
1121,2,7.0,1.0,5.0,88
1121,5,6.0,2.0,5.0,250
1121,13,0.0,1.0,,120
1125,8,6.0,2.0,,1542
1125,9,0.0,2.0,5.0,1.87
1125,18,0.0,3.0,4.0,0.675
1126,1,0.0,4.0,,550
1126,9,7.0,,,1.8
1126,5,0.0,4.0,,300
1126,6,7.0,,,150
1126,15,6.0,1.0,,4.5
1126,14,0.0,3.0,4.0,50
1126,19,7.0,3.0,,7200.83
1126,19,6.0,3.0,5.0,5135.51
1126,11,6.0,,,1200
1126,2,6.0,,,37
1132,0,0.0,2.0,5.0,12000 RPM
1132,0,7.0,3.0,4.0,9000 RPM
1132,7,7.0,1.0,4.0,6.8
1132,7,6.0,1.0,4.0,4.7
1132,12,6.0,4.0,,12.5 ppm
1132,15,0.0,3.0,5.0,0.005 M
1132,1,6.0,2.0,,250 nm
1132,19,0.0,3.0,,2795.14 cP
1132,19,6.0,3.0,5.0,5120.14 cP
1143,6,0.0,2.0,4.0,1350
1143,15,0.0,3.0,4.0,5.7
1143,17,0.0,1.0,5.0,75
1143,4,7.0,,,250
1143,12,0.0,3.0,,15
1143,2,0.0,,,25
1143,19,0.0,,,2571.01
1143,19,7.0,4.0,,7558.42
1143,19,7.0,2.0,4.0,7574.33
1147,10,,,,27.5
1147,12,,,,15.8
1147,4,,,,320.4
1147,5,,,,302.1
1147,3,,,,3.2
1147,2,,,,57
1147,13,,,,120
1147,19,,,,7702.88
1147,19,,,,5001.23
1147,19,,,,4944.41
1154,18,0.0,2.0,5.0,Wear Scar Diameter
1154,1,0.0,2.0,,Absorption Wavelength
1154,16,0.0,3.0,4.0,Cycle Count
1154,8,6.0,5.0,,Conductivity
1154,0,7.0,1.0,4.0,Speed
1154,9,7.0,4.0,,Optical Density
1154,2,7.0,3.0,4.0,Temperature
1162,6,7.0,,,1500
1162,5,6.0,1.0,4.0,250
1162,10,6.0,5.0,,200
1162,4,6.0,,,80
1162,9,0.0,2.0,,1.8
1162,15,0.0,1.0,,0.005
1162,14,7.0,,,500
1162,19,6.0,,,5098.96
1162,19,7.0,4.0,,7440.05
1162,19,7.0,2.0,5.0,7694.27
1172,6,7.0,3.0,5.0,845
1172,6,6.0,5.0,,1958
1172,19,6.0,1.0,,4804.3
1172,18,6.0,3.0,5.0,0.75
1172,18,6.0,4.0,,0.65
1172,8,7.0,5.0,,520
1172,10,0.0,3.0,5.0,150
1172,12,0.0,1.0,5.0,12
1172,4,0.0,2.0,,0.75
1178,1,6.0,4.0,,320.5
1178,1,6.0,2.0,4.0,510.2
1178,0,,,,---
1178,0,,,,
1178,9,6.0,,,2.1
1178,14,7.0,2.0,4.0,450.7
1178,14,6.0,1.0,,350.8
1178,19,6.0,3.0,,4995.68
1178,2,0.0,1.0,4.0,37.5
1178,2,0.0,3.0,4.0,45.9
1178,16,7.0,3.0,5.0,27.3
1178,16,0.0,4.0,,30.2
1178,17,6.0,2.0,,75.5
1185,4,6.0,,,500
1185,17,7.0,,,75
1185,10,7.0,1.0,4.0,0.75
1185,14,,,,350
1185,19,,,,1947.43
1185,8,7.0,1.0,5.0,1800
1185,18,7.0,,,0.55
1185,0,6.0,2.0,,12000
1194,3,0.0,2.0,4.0,3.2
1194,9,0.0,1.0,4.0,2.8
1194,16,7.0,2.0,5.0,16.5
1195,13,,,,120 °C
1195,11,,,,1500 1/cm
12,6,6.0,4.0,,750 m/z
12,11,0.0,3.0,,1720 1/cm
120,9,6.0,3.0,5.0,1.2
120,10,6.0,1.0,,250.5
120,4,7.0,3.0,,450.8
120,10,7.0,2.0,,500.2
120,14,0.0,3.0,,25.4
120,7,0.0,3.0,4.0,7.4
120,19,6.0,3.0,4.0,5025.2
120,19,7.0,1.0,5.0,7108.01
1200,14,0.0,1.0,,500
1200,14,7.0,3.0,,750
1200,7,7.0,2.0,4.0,7
1200,7,0.0,3.0,,6
1200,13,6.0,,,100
1200,13,7.0,1.0,,120
1200,3,6.0,2.0,,2.5
1200,1,6.0,1.0,,450
1200,12,0.0,2.0,5.0,10
1200,11,6.0,3.0,,1500
1200,19,0.0,3.0,,2695.16
1200,19,6.0,4.0,,4727.33
1204,10,7.0,3.0,5.0,450
1204,14,7.0,2.0,,500
1204,17,6.0,2.0,5.0,75
1204,2,6.0,3.0,,60
1204,13,7.0,3.0,5.0,90
1204,0,7.0,2.0,,12000
1204,8,6.0,2.0,5.0,1500
1204,9,6.0,1.0,,1.8
1204,15,7.0,1.0,5.0,5.5
1206,18,7.0,5.0,,0.65
1206,13,0.0,2.0,4.0,45
1206,6,6.0,3.0,,1500
1206,17,7.0,1.0,4.0,50
1218,15,6.0,0.0,1.0,7.12
1218,8,6.0,2.0,5.0,1425
1218,7,0.0,1.0,4.0,5.5
1218,13,6.0,1.0,,90
1218,12,6.0,2.0,5.0,10.2
1218,11,6.0,5.0,,3450
1223,10,0.0,,,870.5
1223,13,0.0,,,50
1223,2,6.0,,,72
1223,6,7.0,,,1200
1223,7,6.0,,,7
1223,16,7.0,,,25
1223,18,0.0,,,0.6
1223,14,6.0,,,250
1223,9,7.0,,,1.8
1223,19,6.0,,,4802.12
1223,19,7.0,,,7418.99
1226,6,0.0,2.0,4.0,1750
1226,5,6.0,5.0,,250
1226,12,0.0,3.0,,5.5
1226,9,7.0,1.0,4.0,1.8
1226,8,0.0,3.0,5.0,1500
1226,19,7.0,5.0,,7446.19
1226,19,6.0,4.0,,5042.01
1226,18,7.0,2.0,,0.75
1226,2,6.0,2.0,5.0,85
1228,11,6.0,4.0,,Wavenumber
1228,12,7.0,1.0,4.0,Chemical Shift
1228,13,0.0,1.0,,Angle
1228,17,7.0,1.0,5.0,Concentration
1228,7,6.0,1.0,5.0,pH
1228,5,6.0,2.0,5.0,Concentration
1228,9,6.0,3.0,,Absorbance
1228,10,0.0,3.0,4.0,Concentration
1228,0,0.0,3.0,5.0,Speed
1228,1,7.0,3.0,4.0,Wavelength
1230,19,6.0,2.0,4.0,5062.93
1230,19,7.0,,,7341.01
1237,1,0.0,3.0,,300
1237,10,6.0,3.0,5.0,0.5
1237,5,6.0,1.0,4.0,50
1237,4,7.0,1.0,4.0,500
1237,6,7.0,2.0,5.0,1500
1237,8,7.0,3.0,,1000
1237,16,0.0,4.0,,30
1237,0,,,,
1237,1,6.0,2.0,4.0,450
1237,10,6.0,4.0,,0.7
1241,16,6.0,2.0,4.0,35
1241,12,0.0,2.0,5.0,15
